substance,frequency,suggested_category,suggested_distance_m,notes
Lossepladsperkolat,3157,,,
DEHP,53,,,
Volumen,43,,,
Saccharin,37,,,
Asbeststøv,35,,,
"Carbon,org,VOC",33,,,
"Carbon,org,NVOC",32,,,
CyPM,29,,,
"Hydrocarbon., C8-C15",23,,,
"2,6-DCPP",23,,,
Metaldehyd,21,,,
PCB,19,,,
DEIA,13,,,
Ethylenthiourea,11,,,
Tris(3-chlorpropyl)phosphat,11,,,
Tris(2-chlorethyl)phosphat,11,,,
Overfladeaktivestof.,9,,,
CGA 62826,7,,,
"Anioner, total",7,,,
"Chlor,total",6,,,
"Kulbr.,opl.el.emulg.",5,,,
Anioniske detergenter,4,,,
"[(2,6-Dimethylphenyl)(2-sulfoacetyl)amino]eddikesyre",4,,,
Detergenter kation,4,,,
PFHxS incl precursor,3,,,
2-CPP,3,,,
CGA 108906,3,,,
Fluroxypyr,2,,,
LAS,1,,,
Org. chlorforbind.,1,,,
